Item	Outline	Page_Lines	Text	Tokens	Keywords	Tag	Number_of_Keywords
567	26.	36.20 - 36.22	"""Significantly impacted community"" is a community, municipality, or other area designated as such by worker and community assurance board established under this subtitle. "	significantly, impacted, community, is, a, community, municipality, or, other, area, designated, as, such, by, worker, and, community, assurance, board, established, under, this, subtitle	significantly, impacted, community, municipality, area, designated, worker, assurance, board, established, subtitle	(§7.) SUBTITLE IV § 1933.26.	11
568	27.	36.23 - 36.27	"""Social dialogue"" means an open dialogue with resources available to the public and all stakeholders to encourage participation intended to develop a consensus among the parties consisting of discussions where participants can discuss, be provided with resources and make decisions about how to respond to the challenges of the transition. "	social, dialogue, means, an, open, dialogue, with, resources, available, to, the, public, and, all, stakeholders, to, encourage, participation, intended, to, develop, a, consensus, among, the, parties, consisting, of, discussions, where, participants, can, discuss, be, provided, with, resources, and, make, decisions, about, how, to, respond, to, the, challenges, of, the, transition	social, dialogue, resources, available, public, stakeholders, encourage, participation, intended, develop, consensus, parties, consisting, discussions, participants, discuss, decisions, respond, challenges, transition	(§7.) SUBTITLE IV § 1933.27.	20
569	28.	36.28 - 36.29	"""Total separation"" means the layoff or severance of an individual from employment with an applicable firm. "	total, separation, means, the, layoff, or, severance, of, an, individual, from, employment, with, an, applicable, firm	total, separation, layoff, severance, individual, employment, applicable, firm	(§7.) SUBTITLE IV § 1933.28.	8
570	29.	36.30 - 36.31	"""Totally separated"" means, with respect to an individual, that such individual is experiencing total separation. "	totally, separated, means, with, respect, to, an, individual, that, such, individual, is, experiencing, total, separation	totally, separated, respect, individual, experiencing, total, separation	(§7.) SUBTITLE IV § 1933.29.	7
571	30.	36.32 - 36.33	"""Upstate region"" means all New York counties other than Nassau, Suffolk, Richmond, Kings, Queens, New York, Bronx and Westchester. "	upstate, region, means, all, new, york, counties, other, than, nassau, suffolk, richmond, kings, queens, new, york, bronx, and, westchester	upstate, region, new, york, counties, nassau, suffolk, richmond, kings, queens, bronx, westchester	(§7.) SUBTITLE IV § 1933.30.	12
572	31.	36.34 - 36.35	"""Working group"" means the climate justice working group created pursuant to section 75-0111 of the environmental conservation law. "	working, group, means, the, climate, justice, working, group, created, pursuant, to, section, 75, 0111, of, the, environmental, conservation, law	working, group, climate, justice, pursuant, environmental, conservation, law	(§7.) SUBTITLE IV § 1933.31.	8
573	§ 1934.	36.36 - 36.38	"Worker and community assurance board. There is hereby created no later than six months after the effective date of this subtitle, a ""worker and community assurance board"". "	worker, and, community, assurance, board, there, is, hereby, created, no, later, than, six, months, after, the, effective, date, of, this, subtitle, a, worker, and, community, assurance, board	worker, community, assurance, board, hereby, months, effective, subtitle	(§7.) SUBTITLE IV § 1934.	8
574	1.	36.39 - 36.39	The board will be comprised of: 	the, board, will, be, comprised, of	board, comprised	(§7.) SUBTITLE IV § 1934.1.	2
575	(a)	36.40 - 36.40	the president; 	the, president	president	(§7.) SUBTITLE IV § 1934.1.(a)	1
576	(b)	36.41 - 36.41	the commissioner of labor; 	the, commissioner, of, labor	commissioner, labor	(§7.) SUBTITLE IV § 1934.1.(b)	2
577	(c)	36.42 - 36.42	the commissioner of environmental conservation; 	the, commissioner, of, environmental, conservation	commissioner, environmental, conservation	(§7.) SUBTITLE IV § 1934.1.(c)	3
578	(d)	36.43 - 36.43	the state comptroller or their representative; 	the, state, comptroller, or, their, representative	state, comptroller, representative	(§7.) SUBTITLE IV § 1934.1.(d)	3
579	(e)	36.44 - 36.44	four members appointed by the state senate, including: 	four, members, appointed, by, the, state, senate, including	members, appointed, state, senate	(§7.) SUBTITLE IV § 1934.1.(e)	4
580	(i)	36.45 - 36.45	one representative of a constituency-based organization; 	one, representative, of, a, constituency, based, organization	representative, constituency, organization	(§7.) SUBTITLE IV § 1934.1.(e)(i)	3
581	(ii)	36.46 - 36.46	one representative of a labor organization; 	one, representative, of, a, labor, organization	representative, labor, organization	(§7.) SUBTITLE IV § 1934.1.(e)(ii)	3
582	(iii)	36.47 - 36.47	one expert in economic development; and 	one, expert, in, economic, development, and	expert, economic, development	(§7.) SUBTITLE IV § 1934.1.(e)(iii)	3
583	(iv)	36.48 - 36.48	one representative of an environmental justice community; 	one, representative, of, an, environmental, justice, community	representative, environmental, justice, community	(§7.) SUBTITLE IV § 1934.1.(e)(iv)	4
584	(f)	36.49 - 36.49	four members appointed by the state assembly, including: 	four, members, appointed, by, the, state, assembly, including	members, appointed, state, assembly	(§7.) SUBTITLE IV § 1934.1.(f)	4
585	(i)	36.50 - 36.50	one representative of a constituency-based organization; 	one, representative, of, a, constituency, based, organization	representative, constituency, organization	(§7.) SUBTITLE IV § 1934.1.(f)(i)	3
586	(ii)	36.51 - 36.51	one representative of a labor organization; 	one, representative, of, a, labor, organization	representative, labor, organization	(§7.) SUBTITLE IV § 1934.1.(f)(ii)	3
587	(iii)	36.52 - 36.52	one expert in economic development; and 	one, expert, in, economic, development, and	expert, economic, development	(§7.) SUBTITLE IV § 1934.1.(f)(iii)	3
588	(iv)	36.53 - 36.53	one representative of an environmental justice community. 	one, representative, of, an, environmental, justice, community	representative, environmental, justice, community	(§7.) SUBTITLE IV § 1934.1.(f)(iv)	4
589	2.	36.54 - 36.55	The board shall be co-chaired by the president and the commissioner of labor, or their designees. 	the, board, shall, be, co, chaired, by, the, president, and, the, commissioner, of, labor, or, their, designees	board, chaired, president, commissioner, labor, designees	(§7.) SUBTITLE IV § 1934.2.	6
590	3.	37.1 - 37.3	The board shall meet no less than quarterly. Meetings shall be open to the public, and full agendas and minutes shall be shared publicly not less than one week prior to meeting. 	the, board, shall, meet, no, less, than, quarterly, meetings, shall, be, open, to, the, public, and, full, agendas, and, minutes, shall, be, shared, publicly, not, less, than, one, week, prior, to, meeting	board, quarterly, meetings, public, agendas, minutes, shared, publicly, week, prior, meeting	(§7.) SUBTITLE IV § 1934.3.	11
591	§ 1935.	37.4 - 37.6	Worker assurance program. There is hereby established within the authority, a worker assurance program, to be implemented by the chair. 	worker, assurance, program, there, is, hereby, established, within, the, authority, a, worker, assurance, program, to, be, implemented, by, the, chair	worker, assurance, program, hereby, established, authority, implemented, chair	(§7.) SUBTITLE IV § 1935.	8
592	1.	37.7 - 37.9	The purpose of the program is to create programs or disburse funds from the fund to benefit the following persons, regardless of immigration status or term of residency: 	the, purpose, of, the, program, is, to, create, programs, or, disburse, funds, from, the, fund, to, benefit, the, following, persons, regardless, of, immigration, status, or, term, of, residency	purpose, program, programs, disburse, funds, fund, benefit, persons, regardless, immigration, status, term, residency	(§7.) SUBTITLE IV § 1935.1.	13
593	(a)	37.10 - 37.10	adversely affected workers; 	adversely, affected, workers	adversely, affected, workers	(§7.) SUBTITLE IV § 1935.1.(a)	3
594	(b)	37.11 - 37.11	displaced workers; and 	displaced, workers, and	displaced, workers	(§7.) SUBTITLE IV § 1935.1.(b)	2
595	(c)	37.12 - 37.12	disadvantaged workers in significantly impacted communities. 	disadvantaged, workers, in, significantly, impacted, communities	disadvantaged, workers, significantly, impacted, communities	(§7.) SUBTITLE IV § 1935.1.(c)	5
596	2.	37.13 - 37.15	Benefits, services, or financial support may be delivered directly by the authority or through eligible lead applicants and eligible subapplicants. 	benefits, services, or, financial, support, may, be, delivered, directly, by, the, authority, or, through, eligible, lead, applicants, and, eligible, subapplicants	benefits, services, financial, support, may, delivered, directly, authority, eligible, lead, applicants, subapplicants	(§7.) SUBTITLE IV § 1935.2.	12
597	3.	37.16 - 37.19	Applications under this section can be made on behalf of a group of workers by an eligible lead applicant, however individuals may apply for support directly from the agency even if there is a local program administered by or application made by an eligible lead applicant. 	applications, under, this, section, can, be, made, on, behalf, of, a, group, of, workers, by, an, eligible, lead, applicant, however, individuals, may, apply, for, support, directly, from, the, agency, even, if, there, is, a, local, program, administered, by, or, application, made, by, an, eligible, lead, applicant	applications, behalf, group, workers, eligible, lead, applicant, individuals, may, apply, support, directly, agency, local, program, administered, application	(§7.) SUBTITLE IV § 1935.3.	17
598	4.	37.20 - 37.22	All individual applicants will be approved to receive benefits, services, or financial support regardless of immigration status or term of residency. To receive benefits applicants must demonstrate they are: 	all, individual, applicants, will, be, approved, to, receive, benefits, services, or, financial, support, regardless, of, immigration, status, or, term, of, residency, to, receive, benefits, applicants, must, demonstrate, they, are	individual, applicants, approved, benefits, services, financial, support, regardless, immigration, status, term, residency, demonstrate	(§7.) SUBTITLE IV § 1935.4.	13
599	(a)	37.23 - 37.23	adversely affected workers; 	adversely, affected, workers	adversely, affected, workers	(§7.) SUBTITLE IV § 1935.4.(a)	3
600	(b)	37.24 - 37.24	displaced workers; or 	displaced, workers, or	displaced, workers	(§7.) SUBTITLE IV § 1935.4.(b)	2
601	(c)	37.25 - 37.25	disadvantaged workers in significantly impacted communities. 	disadvantaged, workers, in, significantly, impacted, communities	disadvantaged, workers, significantly, impacted, communities	(§7.) SUBTITLE IV § 1935.4.(c)	5
602	5.	37.26 - 37.28	The board, in collaboration with the agency, will promulgate such regulations or guidelines for the creation of programs by the authority or eligible lead applicants as may be needed. 	the, board, in, collaboration, with, the, agency, will, promulgate, such, regulations, or, guidelines, for, the, creation, of, programs, by, the, authority, or, eligible, lead, applicants, as, may, be, needed	board, collaboration, agency, promulgate, regulations, guidelines, creation, programs, authority, eligible, lead, applicants, may, needed	(§7.) SUBTITLE IV § 1935.5.	14
603	6.	37.29 - 37.32	Benefits, services, or financial support upon an application being accepted, benefits, services, or financial support shall be made available for qualifying workers for at least three years and up to ten years. 	benefits, services, or, financial, support, upon, an, application, being, accepted, benefits, services, or, financial, support, shall, be, made, available, for, qualifying, workers, for, at, least, three, years, and, up, to, ten, years	benefits, services, financial, support, application, accepted, available, qualifying, workers, years	(§7.) SUBTITLE IV § 1935.6.	10
604	7.	37.33 - 37.36	These benefits shall include income support equal to their prior salary either until new employment is found at a comparable wage or as a supplement to the new wage to meet the prior level for three years; and additional appropriate supports including: 	these, benefits, shall, include, income, support, equal, to, their, prior, salary, either, until, new, employment, is, found, at, a, comparable, wage, or, as, a, supplement, to, the, new, wage, to, meet, the, prior, level, for, three, years, and, additional, appropriate, supports, including	benefits, income, support, equal, prior, salary, new, employment, comparable, wage, supplement, level, years, appropriate, supports	(§7.) SUBTITLE IV § 1935.7.	15
605	(a)	37.37 - 37.40	employment by the authority or a lead applicant (for example doing remediation at their current site of employment) on a project to reutilize facilities to replace losses in the tax base, or pursuant to another program created under this subtitle; 	employment, by, the, authority, or, a, lead, applicant, for, example, doing, remediation, at, their, current, site, of, employment, on, a, project, to, reutilize, facilities, to, replace, losses, in, the, tax, base, or, pursuant, to, another, program, created, under, this, subtitle	employment, authority, lead, applicant, example, remediation, project, reutilize, facilities, replace, losses, tax, base, pursuant, program, subtitle	(§7.) SUBTITLE IV § 1935.7.(a)	16
606	(b)	37.41 - 37.41	retraining and placement in public or private sector positions; 	retraining, and, placement, in, public, or, private, sector, positions	retraining, placement, public, private, sector, positions	(§7.) SUBTITLE IV § 1935.7.(b)	6
607	(c)	37.42 - 37.42	payment towards pension support; 	payment, towards, pension, support	payment, towards, pension, support	(§7.) SUBTITLE IV § 1935.7.(c)	4
608	(d)	37.43 - 37.44	on the job training funds or wage subsidies to match their prior salary or hourly wage; 	on, the, job, training, funds, or, wage, subsidies, to, match, their, prior, salary, or, hourly, wage	job, training, funds, wage, subsidies, match, prior, salary, hourly	(§7.) SUBTITLE IV § 1935.7.(d)	9
609	(e)	37.45 - 37.45	payment towards early retirement; 	payment, towards, early, retirement	payment, towards, retirement	(§7.) SUBTITLE IV § 1935.7.(e)	3
610	(f)	37.46 - 37.47	transitional support including but not limited to skills training, job counseling, tuition support and on-the-job training; and 	transitional, support, including, but, not, limited, to, skills, training, job, counseling, tuition, support, and, on, the, job, training, and	transitional, support, limited, skills, training, job, counseling, tuition	(§7.) SUBTITLE IV § 1935.7.(f)	8
611	(g)	37.48 - 37.49	support for impacted workers to start employee-owned business, early retirement or income support. 	support, for, impacted, workers, to, start, employee, owned, business, early, retirement, or, income, support	support, impacted, workers, employee, owned, business, retirement, income	(§7.) SUBTITLE IV § 1935.7.(g)	8
612	8.	37.50 - 37.53	The agency will report regularly to the public, board, and task force on the status of these programs as well as what benefits are being provided and where programs have been created by eligible lead applicants. 	the, agency, will, report, regularly, to, the, public, board, and, task, force, on, the, status, of, these, programs, as, well, as, what, benefits, are, being, provided, and, where, programs, have, been, created, by, eligible, lead, applicants	agency, report, regularly, public, board, task, force, status, programs, benefits, eligible, lead, applicants	(§7.) SUBTITLE IV § 1935.8.	13
613	9.	37.54 - 38.2	When approved applicants are employed or have been immediately prior to displacement under an existing collective bargaining agreement, the authority shall notify the labor organization party to the that agreement of the application. 	when, approved, applicants, are, employed, or, have, been, immediately, prior, to, displacement, under, an, existing, collective, bargaining, agreement, the, authority, shall, notify, the, labor, organization, party, to, the, that, agreement, of, the, application	approved, applicants, employed, immediately, prior, displacement, existing, collective, bargaining, agreement, authority, notify, labor, organization, application	(§7.) SUBTITLE IV § 1935.9.	15
614	§ 1936.	38.3 - 38.5	Community assurance program. There is hereby established within the authority, a community assurance program, to be implemented by the chair. The purpose of the program is to: 	community, assurance, program, there, is, hereby, established, within, the, authority, a, community, assurance, program, to, be, implemented, by, the, chair, the, purpose, of, the, program, is, to	community, assurance, program, hereby, established, authority, implemented, chair, purpose	(§7.) SUBTITLE IV § 1936.	9
615	1.	38.6 - 38.6	disburse funds from the fund, pursuant to this section; 	disburse, funds, from, the, fund, pursuant, to, this, section	disburse, funds, fund, pursuant	(§7.) SUBTITLE IV § 1936.1.	4
616	2.	38.7 - 38.9	to provide support for disadvantaged communities and significantly impacted communities directly from the authority, through local government entities, eligible lead applicants, or eligible sub-applicants to: 	to, provide, support, for, disadvantaged, communities, and, significantly, impacted, communities, directly, from, the, authority, through, local, government, entities, eligible, lead, applicants, or, eligible, sub, applicants, to	support, disadvantaged, communities, significantly, impacted, directly, authority, local, government, entities, eligible, lead, applicants, sub	(§7.) SUBTITLE IV § 1936.2.	14
617	(a)	38.10 - 38.11	replace lost school aid, lost property tax payments to schools, or other lost school funding; 	replace, lost, school, aid, lost, property, tax, payments, to, schools, or, other, lost, school, funding	replace, lost, school, aid, property, tax, payments, schools, funding	(§7.) SUBTITLE IV § 1936.2.(a)	9
618	(b)	38.12 - 38.12	job creation programs; 	job, creation, programs	job, creation, programs	(§7.) SUBTITLE IV § 1936.2.(b)	3
619	(c)	38.13 - 38.17	replace lost payment in-lieu-of taxes (PILOT) and local tax revenue, replace revenue raised by or paid by the state or an employer to municipalities or school districts (including, but not limited to, central school districts and city school districts), and other public funding that is being lost; and 	replace, lost, payment, in, lieu, of, taxes, pilot, and, local, tax, revenue, replace, revenue, raised, by, or, paid, by, the, state, or, an, employer, to, municipalities, or, school, districts, including, but, not, limited, to, central, school, districts, and, city, school, districts, and, other, public, funding, that, is, being, lost, and	replace, lost, payment, lieu, taxes, pilot, local, tax, revenue, raised, paid, state, employer, municipalities, school, districts, limited, central, city, public, funding	(§7.) SUBTITLE IV § 1936.2.(c)	21
620	(d)	38.18 - 38.20	facilitate the expansion of existing economic development programs to enable communities to respond to permanent facility closure and/or major reductions in property taxes or pilot payments; and 	facilitate, the, expansion, of, existing, economic, development, programs, to, enable, communities, to, respond, to, permanent, facility, closure, and, or, major, reductions, in, property, taxes, or, pilot, payments, and	facilitate, expansion, existing, economic, development, programs, enable, communities, respond, permanent, facility, closure, major, reductions, property, taxes, pilot, payments	(§7.) SUBTITLE IV § 1936.2.(d)	18
621	3.	38.21 - 38.21	proposals for program funding may include, but are not limited to: 	proposals, for, program, funding, may, include, but, are, not, limited, to	proposals, program, funding, may, limited	(§7.) SUBTITLE IV § 1936.3.	5
622	(a)	38.22 - 38.23	support to start cooperative employee-owned businesses, including by displaced workers or labor organizations; 	support, to, start, cooperative, employee, owned, businesses, including, by, displaced, workers, or, labor, organizations	support, cooperative, employee, owned, businesses, displaced, workers, labor, organizations	(§7.) SUBTITLE IV § 1936.3.(a)	9
623	(b)	38.24 - 38.25	infrastructure projects in communities where energy-intensive facilities are closing; 	infrastructure, projects, in, communities, where, energy, intensive, facilities, are, closing	infrastructure, projects, communities, energy, intensive, facilities, closing	(§7.) SUBTITLE IV § 1936.3.(b)	7
624	(c)	38.26 - 38.27	efforts at reclamation project creating a renewable project located at: 	efforts, at, reclamation, project, creating, a, renewable, project, located, at	efforts, reclamation, project, creating, renewable, located	(§7.) SUBTITLE IV § 1936.3.(c)	6
625	(i)	38.28 - 38.31	a brownfield site as defined in subdivision two of section 27-1405 of the environmental conservation law, not excluding a site subject to an enforcement order as provided for in paragraph (c) of subdivision two of section 27-1405 of the environmental conservation law; 	a, brownfield, site, as, defined, in, subdivision, two, of, section, 27, 1405, of, the, environmental, conservation, law, not, excluding, a, site, subject, to, an, enforcement, order, as, provided, for, in, paragraph, c, of, subdivision, two, of, section, 27, 1405, of, the, environmental, conservation, law	brownfield, defined, subdivision, environmental, conservation, law, excluding, subject, enforcement, order, paragraph	(§7.) SUBTITLE IV § 1936.3.(c)(i)	11
626	(ii)	38.32 - 38.33	a dormant electric generating site as determined by the commission; or 	a, dormant, electric, generating, site, as, determined, by, the, commission, or	dormant, electric, generating, determined, commission	(§7.) SUBTITLE IV § 1936.3.(c)(ii)	5
627	(iii)	38.34 - 38.35	real property owned by a private developer or real property owned by an applicable firm. 	real, property, owned, by, a, private, developer, or, real, property, owned, by, an, applicable, firm	property, owned, private, developer, applicable, firm	(§7.) SUBTITLE IV § 1936.3.(c)(iii)	6
628	(d)	38.36 - 38.38	projects proposed through negotiated project labor agreements or neutrality agreements with labor organizations representing impacted workers or adversely affected workers. 	projects, proposed, through, negotiated, project, labor, agreements, or, neutrality, agreements, with, labor, organizations, representing, impacted, workers, or, adversely, affected, workers	projects, proposed, negotiated, project, labor, agreements, neutrality, organizations, representing, impacted, workers, adversely, affected	(§7.) SUBTITLE IV § 1936.3.(d)	13
629	(e)	38.39 - 38.44	small business retraining and transition programs. Including programs to identify and support small businesses, to avoid job losses due to energy transition, make technological changes or training improvements, on the job training programs, equipment grants, and technical support for existing businesses to transition to practices focused on sustainability, decarbonization, or non-emitting operations. 	small, business, retraining, and, transition, programs, including, programs, to, identify, and, support, small, businesses, to, avoid, job, losses, due, to, energy, transition, make, technological, changes, or, training, improvements, on, the, job, training, programs, equipment, grants, and, technical, support, for, existing, businesses, to, transition, to, practices, focused, on, sustainability, decarbonization, or, non, emitting, operations	business, retraining, transition, programs, identify, support, businesses, avoid, job, losses, energy, technological, training, improvements, equipment, grants, technical, existing, practices, focused, sustainability, decarbonization, emitting, operations	(§7.) SUBTITLE IV § 1936.3.(e)	24
630	(f)	38.45 - 38.47	support for local manufacturing coordinated with decarbonization programs to provide grants and no-interest loans to develop and accelerate manufacturing of: 	support, for, local, manufacturing, coordinated, with, decarbonization, programs, to, provide, grants, and, no, interest, loans, to, develop, and, accelerate, manufacturing, of	support, local, manufacturing, coordinated, decarbonization, programs, grants, interest, loans, develop, accelerate	(§7.) SUBTITLE IV § 1936.3.(f)	11
631	(i)	38.48 - 38.49	electric buses (including school buses), electric pickup trucks, electric cars, and other electric vehicles; and 	electric, buses, including, school, buses, electric, pickup, trucks, electric, cars, and, other, electric, vehicles, and	electric, buses, school, pickup, trucks, cars, vehicles	(§7.) SUBTITLE IV § 1936.3.(f)(i)	7
632	(ii)	38.50 - 38.51	energy-efficient electric appliances in significantly impacted communities and adversely affected communities. 	energy, efficient, electric, appliances, in, significantly, impacted, communities, and, adversely, affected, communities	energy, efficient, electric, appliances, significantly, impacted, communities, adversely, affected	(§7.) SUBTITLE IV § 1936.3.(f)(ii)	9
633	1.	38.52 - 38.55	Administration. 1. Within six months of the effective date of this subtitle, the authority is hereby authorized and directed to establish the programs authorized by this subtitle. The authority shall implement the programs in consultation with the board and shall: 	administration, 1, within, six, months, of, the, effective, date, of, this, subtitle, the, authority, is, hereby, authorized, and, directed, to, establish, the, programs, authorized, by, this, subtitle, the, authority, shall, implement, the, programs, in, consultation, with, the, board, and, shall	administration, months, effective, subtitle, authority, hereby, authorized, directed, establish, programs, implement, consultation, board	(§7.) SUBTITLE IV § 1937.1.	13
634	(a)	39.1 - 39.6	use monies made available for the programs for the establishment of worker and community assurance board pursuant to section nineteen hundred thirty-four, the establishment of the worker assurance program pursuant to section nineteen hundred thirty-five, and the community assurance program pursuant to section nineteen hundred thirty-six of this subtitle to achieve the purposes of each program; 	use, monies, made, available, for, the, programs, for, the, establishment, of, worker, and, community, assurance, board, pursuant, to, section, nineteen, hundred, thirty, four, the, establishment, of, the, worker, assurance, program, pursuant, to, section, nineteen, hundred, thirty, five, and, the, community, assurance, program, pursuant, to, section, nineteen, hundred, thirty, six, of, this, subtitle, to, achieve, the, purposes, of, each, program	monies, available, programs, establishment, worker, community, assurance, board, pursuant, hundred, program, subtitle, achieve, purposes	(§7.) SUBTITLE IV § 1937.1.(a)	14
635	(b)	39.7 - 39.9	enter into contracts with eligible lead applicants, eligible subapplicants, and other entities through the competitive selection process authorized by this subtitle; 	enter, into, contracts, with, eligible, lead, applicants, eligible, subapplicants, and, other, entities, through, the, competitive, selection, process, authorized, by, this, subtitle	contracts, eligible, lead, applicants, subapplicants, entities, competitive, selection, process, authorized, subtitle	(§7.) SUBTITLE IV § 1937.1.(b)	11
636	(c)	39.10 - 39.11	enter into contracts with one or more program implementers to perform such functions as the authority deems appropriate; 	enter, into, contracts, with, one, or, more, program, implementers, to, perform, such, functions, as, the, authority, deems, appropriate	contracts, program, implementers, perform, functions, authority, deems, appropriate	(§7.) SUBTITLE IV § 1937.1.(c)	8
637	(d)	39.12 - 39.17	evaluate disadvantaged communities and other communities to identify those where permanent facility closure is likely, and engage in outreach to ensure that constituency-based organizations, labor organizations, and eligible applicants are aware that the program is under development and invite them to be involved in the development of the program; and 	evaluate, disadvantaged, communities, and, other, communities, to, identify, those, where, permanent, facility, closure, is, likely, and, engage, in, outreach, to, ensure, that, constituency, based, organizations, labor, organizations, and, eligible, applicants, are, aware, that, the, program, is, under, development, and, invite, them, to, be, involved, in, the, development, of, the, program, and	evaluate, disadvantaged, communities, identify, permanent, facility, closure, likely, engage, outreach, ensure, constituency, organizations, labor, eligible, applicants, aware, program, development, invite, involved	(§7.) SUBTITLE IV § 1937.1.(d)	21
638	(e)	39.18 - 39.19	exercise such other powers as are necessary for the proper administration of the program. 	exercise, such, other, powers, as, are, necessary, for, the, proper, administration, of, the, program	exercise, powers, necessary, proper, administration, program	(§7.) SUBTITLE IV § 1937.1.(e)	6
639	2.	39.20 - 39.22	The authority shall notify labor organizations party to collective bargaining agreements covering workers in significantly impacted communities of proposed programs or funding opportunities under this section. 	the, authority, shall, notify, labor, organizations, party, to, collective, bargaining, agreements, covering, workers, in, significantly, impacted, communities, of, proposed, programs, or, funding, opportunities, under, this, section	authority, notify, labor, organizations, collective, bargaining, agreements, covering, workers, significantly, impacted, communities, proposed, programs, funding, opportunities	(§7.) SUBTITLE IV § 1937.2.	16
640	1.	39.23 - 39.28	Allocation of funds. 1. Funds from the fund shall be disbursed under the programs and be used to ensure a stable transition for workers and communities impacted by the transition to a carbon free economy. Funds may be used for activities pursuant to sections nineteen hundred thirty-four, nineteen hundred thirty-five and nineteen hundred thirtysix of this subtitle. 	allocation, of, funds, 1, funds, from, the, fund, shall, be, disbursed, under, the, programs, and, be, used, to, ensure, a, stable, transition, for, workers, and, communities, impacted, by, the, transition, to, a, carbon, free, economy, funds, may, be, used, for, activities, pursuant, to, sections, nineteen, hundred, thirty, four, nineteen, hundred, thirty, five, and, nineteen, hundred, thirtysix, of, this, subtitle	allocation, funds, fund, disbursed, programs, ensure, stable, transition, workers, communities, impacted, carbon, economy, may, activities, pursuant, sections, hundred, thirtysix, subtitle	(§7.) SUBTITLE IV § 1938.1.	20
641	2.	39.29 - 39.29	The authority shall: 	the, authority, shall	authority	(§7.) SUBTITLE IV § 1938.2.	1
642	(a)	39.30 - 39.31	develop clear guidelines and engage in public comment before allocating funds; 	develop, clear, guidelines, and, engage, in, public, comment, before, allocating, funds	develop, guidelines, engage, public, comment, allocating, funds	(§7.) SUBTITLE IV § 1938.2.(a)	7
643	(b)	39.32 - 39.34	determine a transparent and consistent level of funding, program portfolio, and process for accessing that support in both the upstate region and the downstate region; and 	determine, a, transparent, and, consistent, level, of, funding, program, portfolio, and, process, for, accessing, that, support, in, both, the, upstate, region, and, the, downstate, region, and	determine, transparent, consistent, level, funding, program, portfolio, process, accessing, support, upstate, region, downstate	(§7.) SUBTITLE IV § 1938.2.(b)	13
644	(c)	39.35 - 39.38	coordinate with the New York state department of labor regarding the program administered by the authority that directs funds to individual New York residents pursuant to section nineteen hundred thirty-five of this subtitle; 	coordinate, with, the, new, york, state, department, of, labor, regarding, the, program, administered, by, the, authority, that, directs, funds, to, individual, new, york, residents, pursuant, to, section, nineteen, hundred, thirty, five, of, this, subtitle	coordinate, new, york, state, department, labor, regarding, program, administered, authority, directs, funds, individual, residents, pursuant, hundred, subtitle	(§7.) SUBTITLE IV § 1938.2.(c)	17
645	3. (a)	39.39 - 39.41	All projects funded pursuant to this section must be operated as zero-emission projects. No funds from this program may be awarded to any project that uses carbon-based-fuels in its operations. 	all, projects, funded, pursuant, to, this, section, must, be, operated, as, zero, emission, projects, no, funds, from, this, program, may, be, awarded, to, any, project, that, uses, carbon, based, fuels, in, its, operations	projects, funded, pursuant, operated, zero, emission, funds, program, may, awarded, project, uses, carbon, fuels, operations	(§7.) SUBTITLE IV § 1938.3. (a)	15
646	(b)	39.42 - 39.43	No funds under this subtitle shall fund police, prisons or related infrastructure. 	no, funds, under, this, subtitle, shall, fund, police, prisons, or, related, infrastructure	funds, subtitle, fund, police, prisons, related, infrastructure	(§7.) SUBTITLE IV § 1938.3. (a)(b)	7
647	(c)	39.44 - 39.47	Funds administered under section nineteen hundred thirty-six of this subtitle should be coordinated whenever possible with existing programs, and with funding opportunities under other subtitles of this title. 	funds, administered, under, section, nineteen, hundred, thirty, six, of, this, subtitle, should, be, coordinated, whenever, possible, with, existing, programs, and, with, funding, opportunities, under, other, subtitles, of, this, title	funds, administered, hundred, subtitle, coordinated, whenever, possible, existing, programs, funding, opportunities, subtitles, title	(§7.) SUBTITLE IV § 1938.3. (a)(c)	13
648	§ 1939.	39.48 - 39.50	Selection process. The director is authorized, within amounts appropriated, to disburse funds from the fund on a competitive basis for approved projects to eligible applicants and partners. 	selection, process, the, director, is, authorized, within, amounts, appropriated, to, disburse, funds, from, the, fund, on, a, competitive, basis, for, approved, projects, to, eligible, applicants, and, partners	selection, process, director, authorized, amounts, appropriated, disburse, funds, fund, competitive, basis, approved, projects, eligible, applicants, partners	(§7.) SUBTITLE IV § 1939.	16
649	1.	39.51 - 39.53	The director, in partnership with the task force and board, shall develop criteria and a process for selecting project proposals submitted by eligible applicants under this subtitle. 	the, director, in, partnership, with, the, task, force, and, board, shall, develop, criteria, and, a, process, for, selecting, project, proposals, submitted, by, eligible, applicants, under, this, subtitle	director, partnership, task, force, board, develop, criteria, process, selecting, project, proposals, submitted, eligible, applicants, subtitle	(§7.) SUBTITLE IV § 1939.1.	15
650	2.	39.54 - 40.2	The board will select projects based on proposals from eligible lead applicants and labor organizations, based on task force's recommendation, or based on a request from an individual impacted workers and adversely affected workers. 	the, board, will, select, projects, based, on, proposals, from, eligible, lead, applicants, and, labor, organizations, based, on, task, force's, recommendation, or, based, on, a, request, from, an, individual, impacted, workers, and, adversely, affected, workers	board, select, projects, proposals, eligible, lead, applicants, labor, organizations, task, force's, recommendation, request, individual, impacted, workers, adversely, affected	(§7.) SUBTITLE IV § 1939.2.	18
